StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2017-10001,Saloma Errol,1992-10-19,BS Computer Engineering,Business Services,50
2017-10002,Arlie Laurance,2001-03-29,BS Mathematics,n/a,24
2017-10003,Hyacinthe Broomfield,2009-04-19,BS Mathematics,Industrial Machinery/Components,45
2017-10004,Paolo Staten,1992-10-25,BA Sociology,Integrated oil Companies,14
2017-10005,Merissa Willshaw,2001-06-10,BS Applied Physics,Major Banks,46
2017-10006,Boris Stegell,1996-02-12,BS Chemistry,Professional Services,3
2017-10007,Fern Yekel,1999-02-24,BS Mathematics,Engineering & Construction,80
2017-10008,Kirbee Forward,1992-04-06,BS Chemistry,Beverages (Production/Distribution),30
2017-10009,Rooney Tennewell,2008-12-21,BS Chemical Engineering,Finance: Consumer Services,21
2017-10010,Erna Loyd,2000-09-07,BS Applied Physics,n/a,85
2017-10011,Gae Youell,2005-07-11,BA Sociology,n/a,40
2017-10012,Ethelin Vost,2002-05-28,BS Statistics,Services-Misc. Amusement & Recreation,63
2017-10013,Aidan Sheer,1994-08-04,BA Sociology,Property-Casualty Insurers,153
2017-10014,Gabriello Matschke,2009-09-25,BS Industrial Engineering,Biotechnology: Laboratory Analytical Instruments,1
2017-10015,Boy Mouat,2001-12-19,BS Chemistry,Semiconductors,77
2017-10016,Bradan Cafferky,1997-06-25,BS Computer Engineering,n/a,77
2017-10017,Geri Klaus,2010-03-12,BS Computer Science,Oil & Gas Production,111
2017-10018,Stafani Grindell,2006-08-10,BA Sociology,Consumer Specialties,140
2017-10019,Bethena Medcalf,2006-12-28,BA Sociology,Real Estate Investment Trusts,47
2017-10020,Gaston MacShirrie,2010-10-29,BS Industrial Engineering,EDP Services,138
2017-10021,Sheeree Mingo,2004-01-28,BS Computer Engineering,Biotechnology: Electromedical & Electrotherapeutic Apparatus,158
2017-10022,Aleksandr Duckit,2010-09-06,BS Computer Science,Real Estate Investment Trusts,104
2017-10023,Wain Heggs,2009-06-03,BA Sociology,Home Furnishings,94
2017-10024,Ondrea McMeyler,2009-11-07,BA Communication Arts,Specialty Chemicals,72
2017-10025,Jonathon Brittian,1997-05-11,BS Computer Engineering,Major Banks,122
2017-10026,Antonio Zorzetti,1992-02-26,BS Industrial Engineering,Office Equipment/Supplies/Services,116
2017-10027,Ludwig Londing,1999-08-03,BS Statistics,Property-Casualty Insurers,148
2017-10028,Daffy Bickmore,2010-03-01,BS Applied Physics,Power Generation,60
2017-10029,Shelli Berecloth,2007-01-06,BS Mathematics,n/a,142
